quarter_id,indicator_code,value,value_status,source_file
2006Q1,employment_rate,91.863,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q1,lfpr,63.595,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q1,underemployment_change_yoy,,missing,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q1,gdp_growth_yoy,4.5,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q1,gdp_growth_yoy_accel,-0.2,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q1,gdp_level,2.16438e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2006Q1,gdp_growth_qoq,-9.4337,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2006Q1,cpi_index,64.654,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q1,inflation_yoy,6.3218,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q1,inflation_yoy_accel,0.2269,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q1,growth_employment_gap,,missing,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q2,underemployment_change_qoq,4.262,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q2,underemployment_rate,25.409,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q2,unemployment_rate,8.235,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q2,employment_rate,91.765,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q2,lfpr,64.817,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q2,underemployment_change_yoy,-0.726,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q2,gdp_growth_yoy,5.9,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q2,gdp_growth_yoy_accel,1.4,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q2,gdp_level,2.32531e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2006Q2,gdp_growth_qoq,7.4355,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2006Q2,cpi_index,65.2874,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q2,inflation_yoy,6.0681,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q2,inflation_yoy_accel,-0.2537,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q2,growth_employment_gap,5.174,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q3,underemployment_change_qoq,-1.969,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q3,underemployment_rate,23.44,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q3,unemployment_rate,8.141,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q3,employment_rate,91.859,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q3,lfpr,64.613,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q3,underemployment_change_yoy,2.96,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q3,gdp_growth_yoy,4.7,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q3,gdp_growth_yoy_accel,-1.2,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q3,gdp_level,2.21759e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2006Q3,gdp_growth_qoq,-4.6325,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2006Q3,cpi_index,65.9208,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q3,inflation_yoy,5.1934,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q3,inflation_yoy_accel,-0.8747,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q3,growth_employment_gap,7.66,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q4,underemployment_change_qoq,-3.125,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q4,underemployment_rate,20.315,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q4,unemployment_rate,7.392,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q4,employment_rate,92.608,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q4,lfpr,63.824,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q4,underemployment_change_yoy,-0.863,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2006Q4,gdp_growth_yoy,6,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q4,gdp_growth_yoy_accel,1.3,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2006Q4,gdp_level,2.53352e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2006Q4,gdp_growth_qoq,14.2462,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2006Q4,cpi_index,66.2485,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q4,inflation_yoy,4.3344,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q4,inflation_yoy_accel,-0.8591,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2006Q4,growth_employment_gap,5.137,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q1,underemployment_change_qoq,1.19,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q1,underemployment_rate,21.505,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q1,unemployment_rate,7.83,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q1,employment_rate,92.17,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q1,lfpr,64.824,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q1,underemployment_change_yoy,0.358,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q1,gdp_growth_yoy,6.2,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q1,gdp_growth_yoy_accel,0.2,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q1,gdp_level,2.2978e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2007Q1,gdp_growth_qoq,-9.304,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2007Q1,cpi_index,66.6635,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q1,inflation_yoy,3.1081,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q1,inflation_yoy_accel,-1.2263,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q1,growth_employment_gap,6.558,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q2,underemployment_change_qoq,-2.581,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q2,underemployment_rate,18.924,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q2,unemployment_rate,7.396,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q2,employment_rate,92.604,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q2,lfpr,64.519,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q2,underemployment_change_yoy,-6.485,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q2,gdp_growth_yoy,6.8,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q2,gdp_growth_yoy_accel,0.6,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
